Customer_ID,recency,frequency,monetary,r_score,f_score,m_score,rf_score,segment
13391,205,1,59.8,2,2,1,22,Hibernating
17174,219,1,59.9,2,2,1,22,Hibernating
15250,642,1,60.0,1,1,1,11,Hibernating
16605,726,1,60.48,1,1,1,11,Hibernating
15375,692,1,60.96,1,1,1,11,Hibernating
13818,431,1,61.28,1,1,1,11,Hibernating
13303,402,1,61.72,2,1,1,21,Hibernating
13380,434,1,62.4,1,1,1,11,Hibernating
15516,46,3,62.43,4,3,1,43,Potential_Loyalists
14650,591,1,62.5,1,1,1,11,Hibernating
13218,129,1,62.64,3,2,1,32,About_to_Sleep
16058,408,1,62.7,2,1,1,21,Hibernating
12404,684,1,63.24,1,1,1,11,Hibernating
15470,577,1,63.42,1,1,1,11,Hibernating
17263,210,1,63.44,2,2,1,22,Hibernating
16238,424,1,63.66,1,1,1,11,Hibernating
13130,96,1,64.0,3,2,1,32,About_to_Sleep
17216,556,1,65.05,1,1,1,11,Hibernating
13022,431,1,65.3,1,1,1,11,Hibernating
17532,387,1,65.34,2,1,1,21,Hibernating
14393,220,1,67.95,2,2,1,22,Hibernating
17249,430,1,68.03,1,1,1,11,Hibernating
12861,621,1,68.25,1,1,1,11,Hibernating
14906,447,1,68.44,1,1,1,11,Hibernating
13172,402,1,69.6,2,1,1,21,Hibernating
12568,646,1,70.0,1,1,1,11,Hibernating
15564,465,2,70.74,1,2,1,12,Hibernating
13915,396,1,70.8,2,1,1,21,Hibernating
14576,374,1,70.8,2,1,1,21,Hibernating
16970,628,1,71.4,1,1,1,11,Hibernating
13185,269,1,71.4,2,1,1,21,Hibernating
17747,114,1,71.4,3,2,1,32,About_to_Sleep
13938,37,1,71.66,4,1,1,41,Promising
16459,731,1,71.79,1,1,1,11,Hibernating
13105,438,1,72.0,1,1,1,11,Hibernating
17906,249,1,72.9,2,2,1,22,Hibernating
16171,61,1,73.2,3,2,1,32,About_to_Sleep
12506,234,1,73.5,2,1,1,21,Hibernating
18032,336,1,73.5,2,1,1,21,Hibernating
13095,72,1,74.4,3,2,1,32,About_to_Sleep
16420,398,1,75.0,2,1,1,21,Hibernating
17944,425,1,75.41,1,1,1,11,Hibernating
14559,392,1,75.6,2,1,1,21,Hibernating
16610,221,1,75.66,2,2,1,22,Hibernating
17628,83,1,75.75,3,2,1,32,About_to_Sleep
13219,620,1,76.23,1,1,1,11,Hibernating
14613,682,1,76.32,1,1,1,11,Hibernating
14090,326,1,76.32,2,1,1,21,Hibernating
15668,219,1,76.32,2,2,1,22,Hibernating
14373,360,1,76.55,2,1,1,21,Hibernating
16867,691,1,76.74,1,1,1,11,Hibernating
13132,263,1,77.3,2,1,1,21,Hibernating
14785,12,2,77.4,5,3,1,53,Potential_Loyalists
17942,9,1,77.5,5,2,1,52,Potential_Loyalists
12570,684,1,77.52,1,1,1,11,Hibernating
17192,538,1,77.83,1,1,1,11,Hibernating
15753,306,1,79.2,2,1,1,21,Hibernating
14007,514,1,79.48,1,1,1,11,Hibernating
14589,373,1,79.5,2,1,1,21,Hibernating
14190,668,1,79.9,1,1,1,11,Hibernating
16165,507,1,79.9,1,1,1,11,Hibernating
15131,396,1,80.28,2,1,1,21,Hibernating
15833,739,1,80.4,1,1,1,11,Hibernating
17752,361,1,80.64,2,1,1,21,Hibernating
16789,10,1,80.8,5,2,1,52,Potential_Loyalists
17336,474,1,81.12,1,1,1,11,Hibernating
15170,408,1,81.15,2,1,1,21,Hibernating
14717,735,1,81.3,1,1,1,11,Hibernating
17008,431,1,81.36,1,1,1,11,Hibernating
17620,61,1,81.44,3,2,1,32,About_to_Sleep
13006,58,1,81.57,4,2,1,42,Potential_Loyalists
13215,404,1,81.6,2,1,1,21,Hibernating
16028,597,1,82.2,1,1,1,11,Hibernating
13469,655,1,82.4,1,1,1,11,Hibernating
14347,738,1,82.6,1,1,1,11,Hibernating
15094,465,2,83.0,1,2,1,12,Hibernating
12401,305,1,84.3,2,1,1,21,Hibernating
13841,254,1,85.0,2,1,1,21,Hibernating
15541,116,1,85.13,3,2,1,32,About_to_Sleep
13180,609,1,86.1,1,1,1,11,Hibernating
17763,265,4,86.15,2,3,1,23,At_Risk
17606,739,1,87.3,1,1,1,11,Hibernating
16564,571,1,87.8,1,1,1,11,Hibernating
15083,258,1,88.2,2,1,1,21,Hibernating
15603,80,2,88.48,3,2,1,32,About_to_Sleep
13222,579,1,88.5,1,1,1,11,Hibernating
14760,299,1,89.2,2,1,1,21,Hibernating
13535,404,1,89.5,2,1,1,21,Hibernating
16061,433,1,89.65,1,1,1,11,Hibernating
15686,422,1,90.0,1,1,1,11,Hibernating
14117,145,1,90.0,3,2,1,32,About_to_Sleep
16597,6,1,90.04,5,2,1,52,Potential_Loyalists
16506,21,2,90.3,4,3,1,43,Potential_Loyalists
14435,503,1,90.42,1,1,1,11,Hibernating
13947,67,1,90.6,3,2,1,32,About_to_Sleep
14786,552,1,90.96,1,1,1,11,Hibernating
13392,679,1,91.14,1,1,1,11,Hibernating
12659,31,1,91.68,4,2,1,42,Potential_Loyalists
16831,566,1,91.8,1,1,1,11,Hibernating
13160,24,1,91.8,4,2,1,42,Potential_Loyalists
14054,67,1,92.46,3,2,1,32,About_to_Sleep
16196,490,1,93.3,1,1,1,11,Hibernating
12992,727,1,93.35,1,1,1,11,Hibernating
15082,670,1,93.35,1,1,1,11,Hibernating
15305,557,1,93.6,1,1,1,11,Hibernating
14394,566,1,93.8,1,1,1,11,Hibernating
15397,291,1,94.0,2,1,1,21,Hibernating
15868,585,1,94.53,1,1,1,11,Hibernating
14833,500,1,94.8,1,1,1,11,Hibernating
15285,409,1,94.92,2,1,1,21,Hibernating
12548,168,1,95.2,3,2,1,32,About_to_Sleep
18249,19,1,95.34,5,2,1,52,Potential_Loyalists
17024,47,3,95.85,4,3,1,43,Potential_Loyalists
13793,648,1,96.0,1,1,1,11,Hibernating
14642,60,1,96.12,4,2,1,42,Potential_Loyalists
12984,20,1,97.5,5,2,1,52,Potential_Loyalists
17395,510,1,97.5,1,1,1,11,Hibernating
18033,67,1,97.97,3,2,1,32,About_to_Sleep
17895,46,1,98.0,4,1,1,41,Promising
16694,725,1,98.3,1,1,1,11,Hibernating
17538,27,1,98.42,4,2,1,42,Potential_Loyalists
12774,537,1,98.7,1,1,1,11,Hibernating
17939,161,1,99.14,3,2,1,32,About_to_Sleep
17570,383,1,100.0,2,1,1,21,Hibernating
15635,397,1,100.35,2,1,1,21,Hibernating
14371,297,1,100.5,2,1,1,21,Hibernating
17427,73,1,100.8,3,2,1,32,About_to_Sleep
17224,503,1,100.86,1,1,1,11,Hibernating
14946,16,1,100.9,5,2,1,52,Potential_Loyalists
17493,387,1,100.91,2,1,1,21,Hibernating
16498,163,2,100.97,3,2,1,32,About_to_Sleep
13011,374,1,101.1,2,1,1,21,Hibernating
17741,408,2,101.1,2,2,1,22,Hibernating
18195,389,1,101.16,2,1,1,21,Hibernating
18086,276,1,101.34,2,1,1,21,Hibernating
16944,611,1,101.36,1,1,1,11,Hibernating
18068,291,1,101.7,2,1,1,21,Hibernating
16516,32,1,101.7,4,2,1,42,Potential_Loyalists
15486,529,1,102.0,1,1,1,11,Hibernating
13829,423,1,102.0,1,1,1,11,Hibernating
14836,12,3,102.45,5,3,1,53,Potential_Loyalists
17467,397,1,102.6,2,1,1,21,Hibernating
15924,733,1,102.82,1,1,1,11,Hibernating
14542,187,1,103.25,3,2,1,32,About_to_Sleep
16896,557,1,103.95,1,1,1,11,Hibernating
16375,472,2,104.0,1,2,1,12,Hibernating
17328,675,1,104.7,1,1,1,11,Hibernating
14027,62,1,104.82,3,2,1,32,About_to_Sleep
15340,563,1,105.5,1,1,1,11,Hibernating
14579,434,1,105.56,1,1,1,11,Hibernating
15642,731,1,105.78,1,1,1,11,Hibernating
18103,551,1,105.8,1,1,1,11,Hibernating
16581,184,1,105.84,3,2,1,32,About_to_Sleep
17791,31,1,106.1,4,2,1,42,Potential_Loyalists
15168,27,1,106.56,4,2,1,42,Potential_Loyalists
14637,679,1,106.68,1,1,1,11,Hibernating
16082,672,1,106.75,1,1,1,11,Hibernating
16630,409,1,106.8,2,1,1,21,Hibernating
15846,387,1,107.01,2,1,1,21,Hibernating
16047,684,1,107.14,1,1,1,11,Hibernating
15328,409,1,107.24,2,1,1,21,Hibernating
16301,738,1,107.33,1,1,1,11,Hibernating
15395,327,1,107.45,2,1,1,21,Hibernating
14943,665,1,107.62,1,1,1,11,Hibernating
13580,408,1,107.75,2,1,1,21,Hibernating
15583,378,1,107.86,2,1,1,21,Hibernating
14661,28,1,107.95,4,2,1,42,Potential_Loyalists
14374,543,1,108.0,1,1,1,11,Hibernating
16106,67,1,108.38,3,2,1,32,About_to_Sleep
14345,40,1,108.98,4,1,1,41,Promising
16664,571,1,109.2,1,1,1,11,Hibernating
16363,55,1,109.36,4,1,1,41,Promising
14033,557,1,109.44,1,1,1,11,Hibernating
15851,528,1,109.73,1,1,1,11,Hibernating
16339,286,1,109.95,2,1,1,21,Hibernating
17836,49,1,110.21,4,1,1,41,Promising
14641,23,1,110.46,4,2,1,42,Potential_Loyalists
16963,189,1,110.55,3,2,1,32,About_to_Sleep
14787,473,1,110.65,1,1,1,11,Hibernating
18256,389,1,110.7,2,1,1,21,Hibernating
15853,53,1,110.8,4,1,1,41,Promising
15537,165,1,110.92,3,2,1,32,About_to_Sleep
14509,536,1,110.95,1,1,1,11,Hibernating
12692,639,1,110.95,1,1,1,11,Hibernating
14464,570,2,111.0,1,2,1,12,Hibernating
16064,727,1,111.0,1,1,1,11,Hibernating
18120,216,1,111.15,2,2,1,22,Hibernating
17887,131,1,111.35,3,2,1,32,About_to_Sleep
17304,536,1,111.5,1,1,1,11,Hibernating
18124,474,1,111.53,1,1,1,11,Hibernating
14668,447,1,111.63,1,1,1,11,Hibernating
17957,68,1,111.68,3,2,1,32,About_to_Sleep
16547,548,1,111.71,1,1,1,11,Hibernating
15875,648,1,111.72,1,1,1,11,Hibernating
14750,738,1,112.03,1,1,1,11,Hibernating
12756,88,1,112.08,3,2,1,32,About_to_Sleep
17900,192,2,112.2,2,2,1,22,Hibernating
17893,227,1,112.25,2,2,1,22,Hibernating
17816,38,6,112.32,4,4,1,44,Loyal_Customers
13620,530,1,112.34,1,1,1,11,Hibernating
15610,53,1,112.46,4,1,1,41,Promising
15899,370,1,112.5,2,1,1,21,Hibernating
18129,245,1,112.55,2,1,1,21,Hibernating
16697,243,1,112.75,2,1,1,21,Hibernating
14689,210,1,112.8,2,2,1,22,Hibernating
17784,552,1,112.86,1,1,1,11,Hibernating
16821,383,1,113.35,2,1,1,21,Hibernating
18105,39,1,113.48,4,1,1,41,Promising
14457,312,1,113.64,2,1,1,21,Hibernating
18148,648,1,114.1,1,1,1,11,Hibernating
14582,42,1,114.11,4,1,1,41,Promising
12938,27,1,114.14,4,2,1,42,Potential_Loyalists
14652,79,1,114.18,3,2,1,32,About_to_Sleep
14974,39,1,114.39,4,1,1,41,Promising
17275,385,1,114.52,2,1,1,21,Hibernating
16247,172,1,114.56,3,2,1,32,About_to_Sleep
14632,264,1,114.56,2,1,1,21,Hibernating
13188,13,1,114.6,5,2,1,52,Potential_Loyalists
15905,545,1,114.69,1,1,1,11,Hibernating
17933,634,1,114.69,1,1,1,11,Hibernating
17401,543,1,114.85,1,1,1,11,Hibernating
15352,550,1,114.95,1,1,1,11,Hibernating
18012,725,1,115.3,1,1,1,11,Hibernating
18027,100,1,115.31,3,2,1,32,About_to_Sleep
17208,397,1,115.35,2,1,1,21,Hibernating
13241,413,1,115.58,1,1,1,11,Hibernating
14721,381,1,115.77,2,1,1,21,Hibernating
14143,135,1,115.8,3,2,1,32,About_to_Sleep
13170,28,1,116.01,4,2,1,42,Potential_Loyalists
14874,537,1,116.18,1,1,1,11,Hibernating
17117,290,1,116.2,2,1,1,21,Hibernating
16959,89,1,117.35,3,2,1,32,About_to_Sleep
17654,279,1,117.55,2,1,1,21,Hibernating
16291,684,1,117.72,1,1,1,11,Hibernating
12929,313,1,117.85,2,1,1,21,Hibernating
13193,63,1,117.88,3,2,1,32,About_to_Sleep
14155,268,1,118.75,2,1,1,21,Hibernating
17079,80,1,118.8,3,2,1,32,About_to_Sleep
17280,440,1,118.86,1,1,1,11,Hibernating
15843,305,1,118.95,2,1,1,21,Hibernating
17177,507,1,119.5,1,1,1,11,Hibernating
15161,390,1,119.92,2,1,1,21,Hibernating
14453,192,1,119.93,2,2,1,22,Hibernating
14259,143,1,120.0,3,2,1,32,About_to_Sleep
18015,6,1,120.03,5,2,1,52,Potential_Loyalists
17543,551,1,120.05,1,1,1,11,Hibernating
14884,671,1,120.6,1,1,1,11,Hibernating
17446,178,2,120.9,3,2,1,32,About_to_Sleep
17260,413,1,120.95,1,1,1,11,Hibernating
15049,275,1,121.17,2,1,1,21,Hibernating
13182,47,1,121.18,4,1,1,41,Promising
13244,94,1,121.74,3,2,1,32,About_to_Sleep
16073,299,1,122.4,2,1,1,21,Hibernating
13084,493,1,122.4,1,1,1,11,Hibernating
12969,604,1,122.45,1,1,1,11,Hibernating
14076,131,1,122.47,3,2,1,32,About_to_Sleep
14165,277,1,122.54,2,1,1,21,Hibernating
13638,17,1,122.64,5,2,1,52,Potential_Loyalists
13876,65,1,122.7,3,2,1,32,About_to_Sleep
16068,595,1,122.93,1,1,1,11,Hibernating
15927,649,1,123.39,1,1,1,11,Hibernating
14187,475,1,123.5,1,1,1,11,Hibernating
13968,425,1,123.66,1,1,1,11,Hibernating
15779,465,2,124.08,1,2,1,12,Hibernating
12773,566,1,124.25,1,1,1,11,Hibernating
18000,566,1,124.25,1,1,1,11,Hibernating
17316,422,1,124.45,1,1,1,11,Hibernating
17541,511,1,124.46,1,1,1,11,Hibernating
16849,188,1,124.57,3,2,1,32,About_to_Sleep
13312,453,1,124.75,1,1,1,11,Hibernating
14726,656,1,124.75,1,1,1,11,Hibernating
17148,53,1,124.88,4,1,1,41,Promising
13912,425,1,124.95,1,1,1,11,Hibernating
15731,555,1,125.3,1,1,1,11,Hibernating
15017,35,1,125.58,4,2,1,42,Potential_Loyalists
16925,542,1,125.65,1,1,1,11,Hibernating
13522,32,1,125.8,4,2,1,42,Potential_Loyalists
12814,103,1,125.92,3,2,1,32,About_to_Sleep
17657,432,1,126.0,1,1,1,11,Hibernating
13794,548,1,126.03,1,1,1,11,Hibernating
16294,478,1,126.05,1,1,1,11,Hibernating
15463,31,1,126.14,4,2,1,42,Potential_Loyalists
14751,686,2,126.45,1,2,1,12,Hibernating
16973,388,1,127.0,2,1,1,21,Hibernating
15578,164,1,127.1,3,2,1,32,About_to_Sleep
13053,623,1,127.65,1,1,1,11,Hibernating
16397,630,1,127.88,1,1,1,11,Hibernating
13666,62,5,127.9,3,4,1,34,Loyal_Customers
15892,671,1,128.2,1,1,1,11,Hibernating
16251,514,1,128.31,1,1,1,11,Hibernating
17089,388,1,128.45,2,1,1,21,Hibernating
16828,95,2,128.5,3,2,1,32,About_to_Sleep
17056,740,1,128.6,1,1,1,11,Hibernating
13071,614,1,129.22,1,1,1,11,Hibernating
12555,684,1,129.23,1,1,1,11,Hibernating
14999,594,1,129.48,1,1,1,11,Hibernating
17847,517,2,129.69,1,2,1,12,Hibernating
14865,9,4,129.72,5,4,1,54,Champions
15317,679,1,129.75,1,1,1,11,Hibernating
17762,458,1,129.75,1,1,1,11,Hibernating
16288,472,1,129.85,1,1,1,11,Hibernating
17818,739,1,130.18,1,1,1,11,Hibernating
16410,736,1,130.32,1,1,1,11,Hibernating
17240,598,1,130.6,1,1,1,11,Hibernating
15844,48,1,130.74,4,1,1,41,Promising
16865,403,1,130.95,2,1,1,21,Hibernating
17225,583,1,131.15,1,1,1,11,Hibernating
15409,723,1,131.25,1,1,1,11,Hibernating
14378,623,1,131.25,1,1,1,11,Hibernating
14795,168,1,131.45,3,2,1,32,About_to_Sleep
13586,543,1,131.53,1,1,1,11,Hibernating
17455,205,1,131.7,2,2,1,22,Hibernating
17297,19,1,131.78,5,2,1,52,Potential_Loyalists
17565,588,1,131.83,1,1,1,11,Hibernating
14438,308,1,131.9,2,1,1,21,Hibernating
14444,458,1,132.04,1,1,1,11,Hibernating
12964,439,1,132.24,1,1,1,11,Hibernating
17909,739,1,132.55,1,1,1,11,Hibernating
12467,425,1,132.8,1,1,1,11,Hibernating
17881,306,1,133.35,2,1,1,21,Hibernating
15056,522,1,133.45,1,1,1,11,Hibernating
14349,12,1,133.5,5,2,1,52,Potential_Loyalists
16886,458,1,134.0,1,1,1,11,Hibernating
14280,198,1,134.04,2,2,1,22,Hibernating
16486,539,1,134.36,1,1,1,11,Hibernating
15926,544,1,134.44,1,1,1,11,Hibernating
14174,35,1,134.46,4,2,1,42,Potential_Loyalists
17826,376,1,134.59,2,1,1,21,Hibernating
14340,220,1,134.7,2,2,1,22,Hibernating
16055,222,1,134.8,2,2,1,22,Hibernating
13119,670,1,134.9,1,1,1,11,Hibernating
13364,73,1,134.96,3,2,1,32,About_to_Sleep
17960,173,3,135.08,3,3,1,33,Need_Attention
13702,447,1,135.18,1,1,1,11,Hibernating
13144,334,2,135.35,2,2,1,22,Hibernating
14588,580,1,135.39,1,1,1,11,Hibernating
16665,364,1,135.4,2,1,1,21,Hibernating
13076,459,1,135.4,1,1,1,11,Hibernating
14391,578,1,135.6,1,1,1,11,Hibernating
16114,172,1,135.75,3,2,1,32,About_to_Sleep
15419,26,1,135.86,4,2,1,42,Potential_Loyalists
14889,338,1,135.9,2,1,1,21,Hibernating
12968,114,1,135.95,3,2,1,32,About_to_Sleep
17583,562,1,135.95,1,1,1,11,Hibernating
14366,527,1,136.0,1,1,1,11,Hibernating
16462,75,3,136.0,3,3,1,33,Need_Attention
16876,405,1,136.01,2,1,1,21,Hibernating
17972,243,1,136.04,2,1,1,21,Hibernating
16651,588,1,136.2,1,1,1,11,Hibernating
16289,464,1,136.31,1,1,1,11,Hibernating
16237,439,1,136.65,1,1,1,11,Hibernating
13907,693,1,136.8,1,1,1,11,Hibernating
15836,52,1,137.37,4,1,1,41,Promising
13279,80,1,137.75,3,2,1,32,About_to_Sleep
16396,478,1,137.8,1,1,1,11,Hibernating
12512,68,2,138.03,3,2,1,32,About_to_Sleep
15663,108,1,138.14,3,2,1,32,About_to_Sleep
17982,682,1,138.18,1,1,1,11,Hibernating
13716,271,1,138.28,2,1,1,21,Hibernating
12902,266,1,138.68,2,1,1,21,Hibernating
13273,115,1,138.98,3,2,1,32,About_to_Sleep
18209,30,1,139.1,4,2,1,42,Potential_Loyalists
14707,437,2,139.2,1,2,1,12,Hibernating
14772,114,1,139.26,3,2,1,32,About_to_Sleep
16483,194,1,139.35,2,2,1,22,Hibernating
16840,605,2,139.85,1,2,1,12,Hibernating
15848,623,1,139.94,1,1,1,11,Hibernating
13839,488,1,139.95,1,1,1,11,Hibernating
15324,703,1,140.22,1,1,1,11,Hibernating
13483,67,1,140.34,3,2,1,32,About_to_Sleep
15702,478,2,140.39,1,2,1,12,Hibernating
15388,272,1,140.54,2,1,1,21,Hibernating
14773,594,1,140.55,1,1,1,11,Hibernating
17959,594,1,140.75,1,1,1,11,Hibernating
12636,740,1,141.0,1,1,1,11,Hibernating
17273,426,1,141.12,1,1,1,11,Hibernating
14041,268,1,141.41,2,1,1,21,Hibernating
14386,298,1,142.4,2,1,1,21,Hibernating
15761,444,1,143.05,1,1,1,11,Hibernating
15705,203,1,143.1,2,2,1,22,Hibernating
17149,453,1,143.1,1,1,1,11,Hibernating
14574,734,1,143.7,1,1,1,11,Hibernating
14604,635,1,143.86,1,1,1,11,Hibernating
12387,417,1,143.94,1,1,1,11,Hibernating
12587,9,1,144.0,5,2,1,52,Potential_Loyalists
17186,48,2,144.0,4,2,1,42,Potential_Loyalists
15816,544,2,144.15,1,2,1,12,Hibernating
14109,74,1,144.2,3,2,1,32,About_to_Sleep
17938,422,1,144.29,1,1,1,11,Hibernating
16852,12,2,144.91,5,3,1,53,Potential_Loyalists
15902,382,1,145.01,2,1,1,21,Hibernating
16598,287,1,145.05,2,1,1,21,Hibernating
14972,130,2,145.07,3,2,1,32,About_to_Sleep
17199,584,1,145.12,1,1,1,11,Hibernating
15937,66,1,145.35,3,2,1,32,About_to_Sleep
13866,76,1,145.67,3,2,1,32,About_to_Sleep
12565,290,1,145.92,2,1,1,21,Hibernating
18137,553,2,145.99,1,2,1,12,Hibernating
15496,633,1,146.14,1,1,1,11,Hibernating
14683,590,1,146.56,1,1,1,11,Hibernating
17030,65,1,146.87,3,2,1,32,About_to_Sleep
17794,688,2,147.3,1,2,1,12,Hibernating
14098,38,1,147.35,4,1,1,41,Promising
16724,406,1,147.35,2,1,1,21,Hibernating
15479,735,1,147.4,1,1,1,11,Hibernating
13578,411,1,147.66,2,1,1,21,Hibernating
17859,306,1,148.21,2,1,1,21,Hibernating
13457,690,2,148.22,1,2,1,12,Hibernating
17592,740,1,148.3,1,1,1,11,Hibernating
15283,392,3,148.33,2,3,1,23,At_Risk
15526,35,2,148.44,4,3,1,43,Potential_Loyalists
17549,25,2,148.86,4,3,1,43,Potential_Loyalists
13003,107,3,149.05,3,3,1,33,Need_Attention
15435,24,1,149.29,4,2,1,42,Potential_Loyalists
17390,422,1,149.3,1,1,1,11,Hibernating
18038,558,1,149.41,1,1,1,11,Hibernating
17946,235,2,149.58,2,2,1,22,Hibernating
13257,438,1,149.75,1,1,1,11,Hibernating
17234,184,1,149.89,3,2,1,32,About_to_Sleep
14845,601,1,150.0,1,1,1,11,Hibernating
14084,514,1,150.5,1,1,1,11,Hibernating
15775,247,2,150.5,2,2,1,22,Hibernating
15991,536,1,150.55,1,1,1,11,Hibernating
14980,739,1,150.68,1,1,1,11,Hibernating
12959,486,1,150.95,1,1,1,11,Hibernating
14073,34,1,151.04,4,2,1,42,Potential_Loyalists
16337,38,1,151.05,4,1,1,41,Promising
13697,40,1,151.3,4,1,1,41,Promising
18076,382,1,151.49,2,1,1,21,Hibernating
16617,237,1,151.85,2,1,1,21,Hibernating
13653,489,1,152.2,1,1,1,11,Hibernating
17327,411,2,152.35,2,2,1,22,Hibernating
14066,268,1,152.55,2,1,1,21,Hibernating
18113,370,1,152.64,2,1,1,21,Hibernating
18138,297,1,152.65,2,1,1,21,Hibernating
16507,574,1,152.76,1,1,1,11,Hibernating
16248,63,1,152.94,3,2,1,32,About_to_Sleep
12602,60,1,153.12,4,2,1,42,Potential_Loyalists
15431,504,1,153.24,1,1,1,11,Hibernating
15560,399,2,153.52,2,2,1,22,Hibernating
17517,310,1,153.94,2,1,1,21,Hibernating
13490,656,1,154.25,1,1,1,11,Hibernating
15226,312,1,154.41,2,1,1,21,Hibernating
15740,51,1,154.88,4,1,1,41,Promising
17698,262,1,154.95,2,1,1,21,Hibernating
14046,286,1,154.99,2,1,1,21,Hibernating
14368,321,1,155.0,2,1,1,21,Hibernating
17832,51,1,155.37,4,1,1,41,Promising
17899,161,1,155.8,3,2,1,32,About_to_Sleep
13051,580,2,155.8,1,2,1,12,Hibernating
15263,108,1,156.51,3,2,1,32,About_to_Sleep
15438,133,1,156.58,3,2,1,32,About_to_Sleep
16578,628,1,156.6,1,1,1,11,Hibernating
14406,121,1,156.75,3,2,1,32,About_to_Sleep
13830,583,1,156.85,1,1,1,11,Hibernating
15742,621,1,156.87,1,1,1,11,Hibernating
15007,161,1,156.91,3,2,1,32,About_to_Sleep
